Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 08, 2024",158.43,158.84,157.97,158.74,156.83,"4,900,200"
"Feb 07, 2024",158.51,158.77,157.62,158.39,156.49,"6,706,000"
"Feb 06, 2024",156.95,157.87,156.76,157.77,155.88,"6,059,000"
"Feb 05, 2024",157.36,157.43,156.13,156.78,154.9,"8,633,400"
"Feb 02, 2024",157.61,158.91,156.74,158.14,156.24,"8,128,300"
"Feb 01, 2024",156.79,158.38,155.79,158.28,156.38,"8,008,200"
"Jan 31, 2024",158.48,158.59,156.38,156.46,154.58,"8,928,200"
"Jan 30, 2024",158.01,158.84,157.85,158.49,156.59,"7,258,200"
"Jan 29, 2024",157.34,158.52,157.08,158.46,156.56,"4,501,700"
"Jan 26, 2024",157.66,157.98,157.2,157.5,155.61,"5,997,700"
"Jan 25, 2024",157.17,157.5,156.36,157.48,155.59,"5,832,000"
"Jan 24, 2024",157.7,157.71,155.81,155.91,154.04,"5,688,000"
"Jan 23, 2024",157,157.39,156.17,156.72,154.84,"4,785,800"
"Jan 22, 2024",156.29,157.21,156.25,156.64,154.76,"9,964,200"
"Jan 19, 2024",154.99,156.15,154.07,155.82,153.95,"8,488,600"
"Jan 18, 2024",154.03,154.77,153.16,154.63,152.77,"7,267,100"
"Jan 17, 2024",153.87,154.6,153.1,153.84,151.99,"5,775,000"
"Jan 16, 2024",155.36,155.47,154.52,155.06,153.2,"6,942,300"
"Jan 12, 2024",157.14,157.38,155.71,156.05,154.18,"5,568,500"
"Jan 11, 2024",156.8,156.83,155.16,156.4,154.52,"7,070,600"
"Jan 10, 2024",156.58,157.15,156.07,156.85,154.97,"4,620,700"
"Jan 09, 2024",156.38,157.08,156.07,156.58,154.7,"6,419,100"
"Jan 08, 2024",155.66,157.38,155.3,157.38,155.49,"7,954,000"
"Jan 05, 2024",155.01,156.6,154.83,155.71,153.84,"8,379,600"
"Jan 04, 2024",155.46,156.29,155.2,155.26,153.4,"5,621,600"
"Jan 03, 2024",156.98,156.98,155.3,155.52,153.65,"9,207,500"
"Jan 02, 2024",157.02,158.35,156.77,157.85,155.95,"9,816,500"
"Dec 29, 2023",158.04,158.53,157.33,157.8,155.91,"5,339,200"
"Dec 28, 2023",158.06,158.6,158.05,158.41,156.51,"4,047,000"
"Dec 27, 2023",158.08,158.32,157.59,158.06,156.16,"4,380,300"
"Dec 26, 2023",157.29,158.32,157.05,157.91,156.01,"4,053,100"
"Dec 22, 2023",156.92,157.59,156.34,157.01,155.12,"5,749,200"
"Dec 21, 2023",155.83,156.52,155.07,156.48,154.6,"6,988,900"
"Dec 20, 2023",156.8,157.38,154.51,154.58,152.72,"7,411,100"
"Dec 19, 2023",156.4,157.25,156.2,157.18,155.29,"10,130,900"
"Dec 18, 2023",156.4,156.51,155.63,155.87,154,"8,628,600"
"Dec 18, 2023",0.609 Dividend,,,,,
"Dec 15, 2023",157.29,157.31,155.88,156.41,153.93,"8,882,500"
"Dec 14, 2023",156.66,158.25,156.66,157.53,155.03,"21,351,900"
"Dec 13, 2023",152.16,155.45,151.93,155.41,152.95,"11,782,700"
"Dec 12, 2023",151.98,152.38,151.23,152.18,149.77,"4,633,800"
"Dec 11, 2023",150.76,151.93,150.68,151.91,149.5,"7,130,700"
"Dec 08, 2023",149.97,150.95,149.89,150.57,148.18,"5,181,700"
"Dec 07, 2023",149.79,150.27,149.41,150.1,147.72,"6,054,300"
"Dec 06, 2023",149.97,150.62,149.18,149.31,146.94,"5,237,800"
"Dec 05, 2023",149.98,150.02,148.94,149.26,146.89,"6,384,200"
"Dec 04, 2023",149.53,151.01,149.53,150.6,148.21,"9,572,900"
"Dec 01, 2023",148.16,150.57,148.01,150.53,148.14,"12,058,500"
"Nov 30, 2023",147.55,148.37,146.87,148.3,145.95,"7,763,200"
"Nov 29, 2023",147.12,148.08,146.85,147.05,144.72,"5,732,900"
"Nov 28, 2023",146.43,147.15,146.09,146.47,144.15,"3,960,800"
"Nov 27, 2023",146.55,146.83,146.12,146.61,144.29,"3,848,000"
"Nov 24, 2023",146.43,147.03,146.35,146.91,144.58,"1,156,200"
"Nov 22, 2023",146.26,146.86,146.01,146.48,144.16,"4,388,100"
"Nov 21, 2023",145.82,146.08,145.49,145.8,143.49,"4,612,600"
"Nov 20, 2023",145.33,146.42,144.83,146.07,143.75,"6,441,800"
"Nov 17, 2023",145.45,145.66,144.96,145.49,143.18,"5,027,100"
"Nov 16, 2023",145.15,145.53,144.35,144.79,142.49,"5,466,700"
"Nov 15, 2023",144.89,146.23,144.89,145.27,142.97,"8,133,800"
"Nov 14, 2023",142.78,145.04,142.77,144.59,142.3,"15,157,800"
"Nov 13, 2023",140.31,140.96,140.06,140.58,138.35,"4,142,700"
"Nov 10, 2023",139.71,140.89,139.03,140.76,138.53,"6,783,800"
"Nov 09, 2023",140.88,140.94,139.04,139.13,136.92,"6,288,500"
"Nov 08, 2023",140.72,140.94,139.73,140.32,138.1,"3,994,900"
"Nov 07, 2023",140.59,140.92,140.07,140.55,138.32,"3,636,800"
"Nov 06, 2023",141.71,141.84,140.38,140.85,138.62,"5,054,800"
"Nov 03, 2023",140.82,142.25,140.77,141.59,139.35,"7,471,900"
"Nov 02, 2023",137.43,139.42,137.38,139.31,137.1,"7,961,700"
"Nov 01, 2023",135.87,136.54,135.17,136.29,134.13,"6,508,700"
"Oct 31, 2023",135.03,135.97,134.5,135.83,133.68,"6,021,900"
"Oct 30, 2023",134.51,135.04,133.54,134.71,132.57,"10,830,300"
"Oct 27, 2023",135.56,135.56,133.34,133.66,131.54,"7,744,900"
"Oct 26, 2023",135.39,136.42,135.02,135.22,133.08,"13,893,800"
"Oct 25, 2023",136.36,136.6,135.31,135.5,133.35,"6,627,700"
"Oct 24, 2023",136.8,137.65,136.34,137.01,134.84,"6,337,700"
"Oct 23, 2023",136.34,137.63,135.89,136.14,133.98,"7,157,000"
"Oct 20, 2023",138.46,138.69,136.97,137.01,134.84,"5,246,800"
"Oct 19, 2023",140.45,141.06,138.51,138.74,136.54,"6,056,300"
"Oct 18, 2023",142.03,142.11,140.29,140.48,138.25,"3,986,800"
"Oct 17, 2023",141.21,143.5,141.21,142.74,140.48,"4,954,900"
"Oct 16, 2023",141.28,142.3,140.66,142.04,139.79,"3,995,000"
"Oct 13, 2023",141.02,141.45,139.69,140.29,138.07,"5,019,900"
"Oct 12, 2023",142.57,142.61,139.78,140.6,138.37,"6,378,300"
"Oct 11, 2023",142.22,142.69,141.39,142.38,140.12,"4,211,300"
"Oct 10, 2023",141.37,142.92,141.28,142.08,139.83,"5,192,900"
"Oct 09, 2023",139.42,141.21,139.33,141,138.76,"3,955,400"
"Oct 06, 2023",138.12,140.74,137.32,140,137.78,"8,192,700"
"Oct 05, 2023",139.1,139.39,137.96,138.8,136.6,"4,976,800"
"Oct 04, 2023",138.77,139.33,137.51,139.2,136.99,"7,483,500"
"Oct 03, 2023",139.3,139.92,137.91,138.41,136.22,"6,579,100"
"Oct 02, 2023",141.25,141.48,139.41,140.09,137.87,"7,668,900"
"Sep 29, 2023",142.99,143.21,141.28,141.69,139.44,"5,838,500"
"Sep 28, 2023",141.09,142.6,141.09,142.07,139.82,"6,516,300"
"Sep 27, 2023",141.65,141.81,140.14,141.09,138.85,"5,306,400"
"Sep 26, 2023",142.25,142.6,140.91,141.04,138.8,"4,013,000"
"Sep 25, 2023",142.08,143.08,142.05,143.05,140.78,"6,184,600"
"Sep 22, 2023",143.51,143.69,142.56,142.69,140.43,"3,362,700"
"Sep 21, 2023",145.02,145.17,143.18,143.26,140.99,"4,778,100"
"Sep 20, 2023",146.91,147.41,145.63,145.68,143.37,"4,128,100"
"Sep 19, 2023",146.58,146.75,145.66,146.35,144.03,"3,814,000"
"Sep 18, 2023",146.9,147.05,146.21,146.59,144.27,"2,843,700"
"Sep 18, 2023",0.638 Dividend,,,,,
"Sep 15, 2023",148.35,148.71,147.44,147.58,144.61,"3,637,700"
"Sep 14, 2023",148.11,148.93,147.96,148.83,145.84,"3,080,600"
"Sep 13, 2023",147.84,148.03,146.69,147.11,144.15,"3,821,800"
"Sep 12, 2023",147.55,148.37,147.51,147.7,144.73,"3,062,400"
"Sep 11, 2023",148.33,148.58,147.62,147.89,144.92,"2,917,500"
"Sep 08, 2023",147.78,148.03,147.39,147.65,144.68,"2,480,800"
"Sep 07, 2023",147.76,148.09,147.06,147.58,144.61,"4,834,200"
"Sep 06, 2023",148.41,148.79,147.44,148.17,145.19,"5,019,700"
"Sep 05, 2023",150.31,150.31,148.63,148.68,145.69,"3,754,600"
"Sep 01, 2023",150.86,151.17,150.1,150.54,147.51,"4,846,200"
"Aug 31, 2023",150.71,150.77,149.87,149.92,146.91,"5,314,200"
"Aug 30, 2023",150.06,150.67,149.91,150.45,147.42,"6,138,000"
"Aug 29, 2023",148.41,150.02,148.15,149.98,146.96,"5,362,000"
"Aug 28, 2023",147.88,148.69,147.77,148.31,145.33,"4,273,700"
